TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RPRI11;77,69;0,900000;14,86;101,54;0,77;758.387,71;8,32;-1,00;4,41;352.525.959,10;4.644,00;;3.471.728,00
RSPD11;701,00;3,019911;13,57;768,51;0,91;24.177,35;8,00;;;114.517.054,70;190,00;;149.011,00
RTEL11;0,00;;0,00;50,04;;;25,55;;;17.375.438,16;569,00;;347.200,00
RZAK11;81,95;1,100000;16,29;88,61;0,92;1.528.505,19;5,90;-1,71;11,53;780.498.336,92;44.946,00;;8.807.885,00
RZAT11;95,72;1,700000;13,43;104,08;0,92;659.369,55;8,77;2,19;14,00;440.791.647,36;34.169,00;;4.235.042,00
RZDM11;550,16;2,900000;0,00;63,81;8,62;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RZLC11;1.004,07;11,553170;14,81;996,49;1,01;1.111.341,95;1,62;;;161.394.611,25;159,00;;161.963,00
RZTR11;87,93;1,000000;13,70;91,74;0,96;3.320.103,09;2,12;0,28;11,73;1.729.501.522,37;148.461,00;;18.851.720,00
RZZI11;982,82;6,800000;3,58;1.304,37;0,75;2.000.000,00;1,49;;;145.490.313,05;116,00;;111.541,00
RZZR11;129,99;1,232000;11,18;176,26;0,74;44.233,76;1,42;2,49;-3,74;983.995.299,24;553,00;;5.582.718,00
RZZV11;1.028,34;8,300000;9,06;1.196,33;0,86;105.000,00;3,56;;;207.610.269,59;131,00;;173.540,00
SACL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SADI11;8,62;0,114000;6,61;8,73;0,99;17.163,00;7,98;0,14;12,65;135.150.517,24;10.994,00;;15.486.840,00
SAIC11B;0,00;0,662215;0,00;39,67;;;0,01;;;56.723.988,53;45,00;;1.429.740,00
SALI11;0,00;0,900000;0,00;95,01;;;7,15;;;7.559.631,16;2,00;;79.565,00
SAPI11;9,01;0,110000;16,02;10,05;0,90;183.230,81;12,11;;;297.165.176,54;13.171,00;;29.563.321,00
SARE11;4,80;0,026000;0,54;5,03;0,95;348.855,00;4,63;-28,39;-3,67;464.915.874,22;26.586,00;;92.343.290,00
SBCL11;0,00;;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
SCPF11;2,61;0,018000;0,69;9,89;0,26;1.914,82;1,20;0,89;-19,75;41.533.691,27;4.212,00;;4.200.000,00
SEED11;98,34;1,210000;11,28;92,84;1,06;;0,62;2,23;;152.260.528,53;131,00;;1.640.000,00
SEQR11;50,74;0,588300;13,78;98,41;0,52;62.195,29;2,15;-4,72;7,83;163.924.325,35;0,00;Ativa;1.665.695,00
SFND11;83,07;0,100000;0,00;63,81;1,30;;3,50;115,88;;118.155.565,38;8.102,00;;1.851.786,00
SFRO11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SHDP11B;0,00;153,148895;0,00;968,42;;;8,29;106,61;;1.152.149.132,35;2,00;;1.189.725,00
SHOP11;33,52;;0,00;31,17;1,08;16,70;1,05;;-13,73;78.643.572,23;96,00;;2.523.296,00
SHPH11;870,00;5,300000;6,79;1.036,77;0,84;42.246,29;1,99;1,74;15,52;631.340.468,83;2.039,00;;608.950,00
SHPP11;11,04;0,056000;6,98;10,15;1,09;15.705,31;2,40;;;518.525.659,31;125,00;;51.067.415,00
SHSO11;0,00;0,420000;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SIGR11;99,90;1,295000;0,00;9,38;10,65;100,00;1,83;;-0,03;184.590.936,22;10.774,00;;19.685.485,00
SJAU11;3,80;11,880000;0,00;14,89;0,23;2.432,95;24,74;;-64,64;11.814.859,18;816,00;;793.224,00
SLDZ11;0,00;;0,00;-85,58;;;;;;-430.039,32;2,00;Ativa;5.025,00
SMRE11;52,80;1,011718;23,27;105,73;0,50;440.156,76;1,41;;;105.500.418,83;1.233,00;;997.857,00
